Индекс(i)	Узел(xi)	Числ.реш(vi)	Точн.реш(ui)	Погрешность|vi-ui|	Невязка(ri)
972	0.9492187500	91.0914611816	91.0914611816	0.0000000000	0.0000000000
973	0.9501953125	91.2584018707	91.2584018707	0.0000000000	0.0000002384
974	0.9511718750	91.4255142212	91.4255142212	0.0000000000	0.0000002384
975	0.9521484375	91.5927982330	91.5927982330	0.0000000000	0.0000002384
976	0.9531250000	91.7602539063	91.7602539062	0.0000000000	0.0000002384
977	0.9541015625	91.9278812408	91.9278812408	0.0000000000	0.0000002384
978	0.9550781250	92.0956802368	92.0956802368	0.0000000000	0.0000002384
979	0.9560546875	92.2636508942	92.2636508942	0.0000000000	0.0000002384
980	0.9570312500	92.4317932129	92.4317932129	0.0000000000	0.0000004768
981	0.9580078125	92.6001071930	92.6001071930	0.0000000000	0.0000004768
982	0.9589843750	92.7685928345	92.7685928345	0.0000000000	0.0000000000
983	0.9599609375	92.9372501373	92.9372501373	0.0000000000	0.0000002384
984	0.9609375000	93.1060791016	93.1060791016	0.0000000000	0.0000002384
985	0.9619140625	93.2750797272	93.2750797272	0.0000000000	0.0000002384
986	0.9628906250	93.4442520142	93.4442520142	0.0000000000	0.0000000000
987	0.9638671875	93.6135959625	93.6135959625	0.0000000000	0.0000002384
988	0.9648437500	93.7831115723	93.7831115723	0.0000000000	0.0000002384
989	0.9658203125	93.9527988434	93.9527988434	0.0000000000	0.0000002384
990	0.9667968750	94.1226577759	94.1226577759	0.0000000000	0.0000002384
991	0.9677734375	94.2926883698	94.2926883698	0.0000000000	0.0000000000
992	0.9687500000	94.4628906250	94.4628906250	0.0000000000	0.0000002384
993	0.9697265625	94.6332645416	94.6332645416	0.0000000000	0.0000000000
994	0.9707031250	94.8038101196	94.8038101196	0.0000000000	0.0000002384
995	0.9716796875	94.9745273590	94.9745273590	0.0000000000	0.0000002384
996	0.9726562500	95.1454162598	95.1454162598	0.0000000000	0.0000002384
997	0.9736328125	95.3164768219	95.3164768219	0.0000000000	0.0000004768
998	0.9746093750	95.4877090454	95.4877090454	0.0000000000	0.0000004768
999	0.9755859375	95.6591129303	95.6591129303	0.0000000000	0.0000004768
1000	0.9765625000	95.8306884766	95.8306884766	0.0000000000	0.0000000000
1001	0.9775390625	96.0024356842	96.0024356842	0.0000000000	0.0000000000
1002	0.9785156250	96.1743545532	96.1743545532	0.0000000000	0.0000000000
1003	0.9794921875	96.3464450836	96.3464450836	0.0000000000	0.0000000000
1004	0.9804687500	96.5187072754	96.5187072754	0.0000000000	0.0000000000
1005	0.9814453125	96.6911411285	96.6911411285	0.0000000000	0.0000000000
1006	0.9824218750	96.8637466431	96.8637466431	0.0000000000	0.0000004768
1007	0.9833984375	97.0365238190	97.0365238190	0.0000000000	0.0000004768
1008	0.9843750000	97.2094726563	97.2094726562	0.0000000000	0.0000002384
1009	0.9853515625	97.3825931549	97.3825931549	0.0000000000	0.0000002384
1010	0.9863281250	97.5558853149	97.5558853149	0.0000000000	0.0000002384
1011	0.9873046875	97.7293491364	97.7293491364	0.0000000000	0.0000000000
1012	0.9882812500	97.9029846191	97.9029846191	0.0000000000	0.0000000000
1013	0.9892578125	98.0767917633	98.0767917633	0.0000000000	0.0000002384
1014	0.9902343750	98.2507705688	98.2507705688	0.0000000000	0.0000002384
1015	0.9912109375	98.4249210358	98.4249210358	0.0000000000	0.0000000000
1016	0.9921875000	98.5992431641	98.5992431641	0.0000000000	0.0000004768
1017	0.9931640625	98.7737369537	98.7737369537	0.0000000000	0.0000000000
1018	0.9941406250	98.9484024048	98.9484024048	0.0000000000	0.0000002384
1019	0.9951171875	99.1232395172	99.1232395172	0.0000000000	0.0000000000
1020	0.9960937500	99.2982482910	99.2982482910	0.0000000000	0.0000000000
1021	0.9970703125	99.4734287262	99.4734287262	0.0000000000	0.0000002384
1022	0.9980468750	99.6487808228	99.6487808228	0.0000000000	0.0000002384
1023	0.9990234375	99.8243045807	99.8243045807	0.0000000000	0.0000002384
1024	1.0000000000	100.0000000000	100.0000000000	0.0000000000	0.0000000000
